User,Place,Restaurant,Cuisine,Rating
U1077,135085,Tortas Locas Hipocampo,Fast_Food,2
U1077,132825,puesto de tacos,Mexican,2
U1077,135060,Restaurante Marisco Sam,Seafood,1
U1068,135104,vips,Mexican,1
U1068,132740,Carreton de Flautas y Migadas,Mexican,0
U1068,132663,tacos abi,Mexican,1
U1068,132732,Taqueria EL amigo ,Mexican,0
U1068,132630,palomo tec,Mexican,1
U1067,132584,Gorditas Dona Tota,Mexican,2
U1067,132733,Little Cesarz,Pizzeria,1
U1067,132732,Taqueria EL amigo ,Mexican,1
U1067,132630,palomo tec,Mexican,1
U1067,135104,vips,Mexican,0
U1067,132560,puesto de gorditas,Regional,1
U1103,132584,Gorditas Dona Tota,Mexican,1
U1103,132732,Taqueria EL amigo ,Mexican,0
U1103,132630,palomo tec,Mexican,1
U1103,132613,carnitas_mata,Mexican,2
U1103,132667,little pizza Emilio Portes Gil,Armenian,1
U1103,135104,vips,Mexican,1
U1103,132663,tacos abi,Mexican,1
U1103,132733,Little Cesarz,Pizzeria,2
U1107,132584,Gorditas Dona Tota,Mexican,2
U1107,132733,Little Cesarz,Pizzeria,2
U1044,135088,Cafeteria cenidet,Cafeteria,2
U1044,132583,McDonalds Centro,American,1
U1070,132608,Hamburguesas La perica,Mexican,2
U1070,132609,Pollo_Frito_Buenos_Aires,Fast_Food,1
U1070,132613,carnitas_mata,Mexican,1
U1031,132663,tacos abi,Mexican,0
U1031,132665,TACOS CORRECAMINOS,Mexican,0
U1031,132668,TACOS EL GUERO,Mexican,0
U1082,132630,palomo tec,Mexican,1
U1023,132715,tacos de la estacion,Mexican,0
U1023,132717,tortas hawai,Fast_Food,0
U1082,132613,carnitas_mata,Mexican,0
U1082,132594,tacos de barbacoa enfrente del Tec,Mexican,0
U1082,132608,Hamburguesas La perica,Mexican,0
U1082,132609,Pollo_Frito_Buenos_Aires,Fast_Food,0
U1082,132663,tacos abi,Mexican,0
U1082,132560,puesto de gorditas,Regional,0
U1060,132717,tortas hawai,Fast_Food,2
U1060,132733,Little Cesarz,Pizzeria,2
U1060,132740,Carreton de Flautas y Migadas,Mexican,1
U1015,135071,Restaurante la Cantina,Bar,0
U1015,135071,Restaurante la Cantina,Bar_Pub_Brewery,0
U1123,132733,Little Cesarz,Pizzeria,1
U1123,132608,Hamburguesas La perica,Mexican,1
U1123,135104,vips,Mexican,2
U1123,132584,Gorditas Dona Tota,Mexican,1
U1123,132667,little pizza Emilio Portes Gil,Armenian,1
U1123,132740,Carreton de Flautas y Migadas,Mexican,1
U1123,132613,carnitas_mata,Mexican,1
U1123,132594,tacos de barbacoa enfrente del Tec,Mexican,1
U1021,132740,Carreton de Flautas y Migadas,Mexican,2
U1026,132626,la perica hamburguesa,Italian,2
U1021,132668,TACOS EL GUERO,Mexican,2
U1021,132715,tacos de la estacion,Mexican,2
U1083,135034,Michiko Restaurant Japones,Japanese,2
U1083,132723,Gordas de morales,Mexican,1
U1083,135046,Restaurante El Reyecito,Fast_Food,2
U1108,135075,Mariscos El Pescador,Seafood,2
U1108,132572,Cafe Chaires,Cafeteria,1
U1108,135074,Restaurante la Parroquia Potosina,Contemporary,2
U1108,135028,La Virreina,Mexican,1
U1108,135085,Tortas Locas Hipocampo,Fast_Food,1
U1108,135032,Cafeteria y Restaurant El Pacifico,Cafeteria,2
U1108,135032,Cafeteria y Restaurant El Pacifico,Contemporary,2
U1108,135086,Mcdonalds Parque Tangamanga,Burgers,1
U1108,135086,Mcdonalds Parque Tangamanga,Fast_Food,1
U1108,132723,Gordas de morales,Mexican,2
U1108,135046,Restaurante El Reyecito,Fast_Food,1
U1108,135058,Restaurante Tiberius,Pizzeria,1
U1012,134983,Restaurant and Bar and Clothesline Carlos N Charlies,Bar,2
U1012,134983,Restaurant and Bar and Clothesline Carlos N Charlies,Bar_Pub_Brewery,2
U1093,135019,Restaurant Bar Coty y Pablo,Bar,2
U1093,134976,Log Yin,Mexican,2
U1093,134976,Log Yin,Mediterranean,2
U1093,134976,Log Yin,Burgers,2
U1093,134999,Kiku Cuernavaca,Japanese,2
U1030,135018,El Oceano Dorado,Mexican,2
U1030,134986,Restaurant Las Mananitas,International,2
U1012,134986,Restaurant Las Mananitas,International,2
U1012,135018,El Oceano Dorado,Mexican,2
U1030,135088,Cafeteria cenidet,Cafeteria,1
U1093,132767,Restaurant Familiar El Chino,Vietnamese,2
U1030,132767,Restaurant Familiar El Chino,Vietnamese,0
U1030,135019,Restaurant Bar Coty y Pablo,Bar,0
U1030,135109,Paniroles,Italian,0
U1066,134999,Kiku Cuernavaca,Japanese,1
U1127,135021,Subway,Fast_Food,2
U1017,132768,Mariscos Tia Licha,Family,1
U1066,135019,Restaurant Bar Coty y Pablo,Bar,2
U1017,134983,Restaurant and Bar and Clothesline Carlos N Charlies,Bar,0
U1017,134983,Restaurant and Bar and Clothesline Carlos N Charlies,Bar_Pub_Brewery,0
U1066,132767,Restaurant Familiar El Chino,Vietnamese,1
U1100,135021,Subway,Fast_Food,2
U1100,132768,Mariscos Tia Licha,Family,2
U1100,134976,Log Yin,Mexican,2
U1100,134976,Log Yin,Mediterranean,2
U1100,134976,Log Yin,Burgers,2
U1133,134983,Restaurant and Bar and Clothesline Carlos N Charlies,Bar,1
U1133,134983,Restaurant and Bar and Clothesline Carlos N Charlies,Bar_Pub_Brewery,1
U1133,134986,Restaurant Las Mananitas,International,2
U1133,132766,Mikasa,Japanese,1
U1133,132767,Restaurant Familiar El Chino,Vietnamese,0
U1133,135021,Subway,Fast_Food,2
U1133,135019,Restaurant Bar Coty y Pablo,Bar,1
U1072,132773,El cotorreo,Family,2
U1072,132773,El cotorreo,Mexican,2
U1072,135088,Cafeteria cenidet,Cafeteria,0
U1026,132706,Gorditas Dona Tota,Mexican,0
U1026,132665,TACOS CORRECAMINOS,Mexican,2
U1023,132740,Carreton de Flautas y Migadas,Mexican,0
U1023,132733,Little Cesarz,Pizzeria,2
U1080,132668,TACOS EL GUERO,Mexican,1
U1080,132733,Little Cesarz,Pizzeria,1
U1080,132608,Hamburguesas La perica,Mexican,2
U1063,132584,Gorditas Dona Tota,Mexican,2
U1063,132609,Pollo_Frito_Buenos_Aires,Fast_Food,1
U1063,135104,vips,Mexican,1
U1063,132667,little pizza Emilio Portes Gil,Armenian,1
U1080,132715,tacos de la estacion,Mexican,1
U1082,132732,Taqueria EL amigo ,Mexican,0
U1082,132733,Little Cesarz,Pizzeria,0
U1074,134976,Log Yin,Mexican,2
